,weight
slashgear,-3.7439161362785223
slutload,0.0
slutroulette,0.0
sm,0.0
smithsonian,0.0
society,-2.211189162704772
soft,-2.241313619921861
software,-3.487887500815017
solid,-1.3599057942645616
solusi,0.0
solution,-1.4287238002884157
something,-1.2420292885247837
sony,0.0
source,0.0
space,0.0
spacecom,0.0
speaker,0.0
specialist,-1.4005999829662419
speed,0.0
spell,0.0
ssd,-1.3599057942645616
standing,0.0
star,0.0
state,-1.147953485489198
stereo,0.0
store,-0.27274535614109624
story,0.0
stream,0.0
student,-1.6015743208387976
style,0.042603559224139435
submityourflickscom,0.0
suicidegirls,3.7439161362785223
sunporno,0.0
suv,0.0
swinger,1.5237415223646626
sydney,-1.7027177935283622
ta,0.0
tablet,0.0
tape,0.0
taxi,1.3670935504328545
teacher,0.0
tear,-2.1615509891037874
tech,-2.315244963819629
technical,-1.189796679585079
technology,-2.331600377666763
techpowerup,-3.743916136278521
teen,0.0
teknologi,0.0
texas,0.0
tgp,0.0
theater,0.0
thing,0.0
ticom,-1.545698299324427
tile,1.524042717377618
tip,0.0
tit,0.0
tnaflix,0.0
tom,0.0
top,0.0
toy,2.4518790250320963
toyota,0.0
traffic,-1.5408318254613431
tranny,0.0
truck,0.0
tube,0.9608636615535954
tubecom,0.0
turnitin,-1.6015743208387976
tv,-1.6332325323664447
twinks,0.0
twistys,0.0
twistyscom,0.0
uc,0.0
ucl,0.0
udemy,0.0
uk,-1.5032001824988128
ultimate,0.0
unggul,0.0
unisex,1.4595975032973716
university,-2.5152419172268115
unsw,-1.7027177935283622
update,2.1615509891037874
upgrade,-1.3599057942645616
usa,0.0
use,0.0
usgsgov,0.0
usingenglishcom,0.0
utah,0.0
value,0.0
van,0.0
vehicle,0.0
verge,-3.743916136278525
version,0.0
video,3.657912032649864
view,1.524042717377618
vintage,2.4180365961212074
virtual,-1.7127684061312503
vocabulary,0.0
volkswagen,0.0
voyeur,1.7932563009260982
voyeurweb,1.9260958578332548
vr,1.6377348354309718
vwcom,0.0
wagon,0.0
wall,-2.1615509891037874
wallpaper,0.0
watch,0.10810084091386711
watchersweb,0.0
