,Unnamed: 0,Unnamed: 0.1,Category,url,Description,description,title
19,19,19,Education,https://phoenix.edu,"Online Schools, Classes, Degree Programs - University of Phoenix - University of Phoenix offers campus and online degree programs, certificate courses, and individual online classes. Learn more about admissions, accreditation, tuition and financial aid options, or get started with your enrollment t",University of Phoenix offers online degrees & courses aligned to 300+ occupations. Explore tuition-saving opportunities at our accredited online college!,"Online College, Affordable & Always On | University of Phoenix"
20,20,20,Education,https://sporcle.com,"Sporcle | Mentally Stimulating Diversions | Online Games & Trivia by Sporcle - Play thousands of free online trivia quizzes about Geography, History, Sports, Music, TV and more!",error,error
21,21,21,Education,https://collegeboard.org,College Admissions - SAT - University & College Search Tool - Get connected to your college. Find official college planning and preparation tools to help you succeed. Visit the College Board website - your inside source.,,"College Board - SAT, AP, College Search and Admission Tools"
22,22,22,Education,https://stanford.edu,"Stanford University - Stanford University is one of the world's leading research and teaching institutions.  It is located in Stanford, California.","One of the world's leading research and teaching institutions. Catalyzing discovery, accelerating solutions, sustaining life on Earth, and preparing students for active citizenship.",Stanford University
23,23,23,Education,https://ixl.com,"IXL Math | Online math practice and lessons - IXL is the Web's most comprehensive math practice site. Popular among educators and families, IXL provides unlimited questions in more than 2,000 topics. An adaptive learning system, featuring games and awards, inspires students to achieve.","IXL is the world's most popular subscription-based learning site for K–12. Used by over 13 million students, IXL provides personalized learning in more than 8,500 topics, covering math, language arts, science, social studies, and Spanish. Interactive questions, awards, and certificates keep kids motivated as they master skills.","IXL | Math, Language Arts, Science, Social Studies, and Spanish"
24,24,24,Education,https://funbrain.com,"FunBrain.com - The Internet's #1 Education Site for K-8 Kids and Teachers - Funbrain.com - FunBrain is the #1 site for online educational games for kids of all ages. (math, grammar, science, spelling, history)","Funbrain is the leader in online educational interactive content, with hundreds of free games, books & videos for kids of all ages. Check out Funbrain here.",Free Online Learning & Education For Kids | Funbrain - Funbrain
25,25,25,Education,https://ratemyprofessors.com,"Rate My Professors – Find and rate your professor, campus and more – RateMyProfessors.com - Over 1.5 million professors & 13 million opinions. Rate My Professors is the best professor ratings source based on student feedback. Find & rate a professor!","With over 1.3 million professors, 7,000 schools &amp; 15 million ratings, Rate My Professors is the best professor ratings source based on student feedback. Find &amp; rate your professors or school! #LeaveYourMark",Rate My Professors
26,26,26,Education,https://k12.com,"K12 | Online Public School, Online High School, Online Private School, Homeschooling, and Online Courses options - K12 is the number one choice in K-12 online education programs in America. K12 is the trusted provider of online learning for many tuition-free, virtual public schools, as well as home","K12 is a trusted provider of online learning for many virtual public schools, as well as homeschooling. Take charge of your child’s education & enroll now.",K12: Online Public School Programs | Online Learning Programs
27,27,27,Education,https://berkeley.edu,"University of California, Berkeley - University of California, Berkeley home page. Gateway to information on studying, teaching, research and public service at UC Berkeley, flagship campus of the University of California system.",,"Home | University of California, Berkeley"
28,28,28,Education,https://utexas.edu,Home | The University of Texas at Austin,"The University of Texas at Austin is a bold, ambitious leader, providing a first-class education and the tools of discovery to more than 51,000 students.",The University of Texas at Austin
29,29,29,Education,https://mentalfloss.com,"Random, Interesting, Amazing Facts - Fun Quizzes and Trivia | Mental Floss - Test your knowledge with amazing and interesting facts, trivia, quizzes, and brain teaser games on MentalFloss.com.","Test your knowledge with amazing and interesting facts, trivia, quizzes, and brain teaser games on MentalFloss.com.",Mental Floss
30,30,30,Education,https://umich.edu,"University of Michigan - University of Michigan is one of the top universities of the world, a diverse public institution of higher learning, fostering excellence in research. U-M provides outstanding undergraduate, graduate and professional education, serving the local, regional, national and inte","A top-ranked public university, the University of Michigan has a tradition of excellence in research, learning and teaching, sports and the arts, and more.",University of Michigan
31,31,31,Education,https://yourdictionary.com,"Dictionary definitions you can understand - YourDictionary - The easy to understand dictionary with example sentences, famous quotes and audio pronunciations. Includes: thesaurus, business dictionary, computer dictionary, medical dictionary and more.","Our online dictionary is the best source for definitions and origins of words, meanings of concepts, example sentences, synonyms and antonyms, grammar tips, and more.",YourDictionary: Definitions and Meanings From Over a Dozen Trusted Dictionary Sources
32,32,32,Education,https://si.edu,"Smithsonian - The world's largest museum and research complex, with 19 museums, 9 research centers and more than 140 affiliate museums around the world.","Official website of the Smithsonian, the world's largest museum and research complex, with 19 museums, 9 research centers, and affiliates around the world.",Smithsonian Institution | Home
33,33,33,Education,https://spanishdict.com,"SpanishDict | English to Spanish Translation, Dictionary and Translator | Diccionario y traductor inglés español - Free Spanish translation website. Effective, fast, and easy. Use our English to Spanish dictionary and Spanish translator to translate over 1,000,000 words and phrases from Spanish t",The world's most popular Spanish translation website. Over 1 million words and phrases. Free. Easy. Accurate.,"SpanishDict | English to Spanish Translation, Dictionary, Translator"
34,34,34,Education,https://mit.edu,MIT - Massachusetts Institute of Technology - MIT is devoted to the advancement of knowledge and education of students in areas that contribute to or prosper in an environment of science and technology.,"The mission of MIT is to advance knowledge and educate students in science, technology and other areas of scholarship that will best serve the nation and the world in the 21st century.",MIT - Massachusetts Institute of Technology
35,35,35,Education,https://britannica.com,"Britannica Online Encyclopedia - Explore the updated online encyclopedia from Encyclopaedia Britannica with hundreds of thousands of articles, biographies, videos, images, and web sites.","Explore the fact-checked online encyclopedia from Encyclopaedia Britannica with hundreds of thousands of objective articles, biographies, videos, and images from experts.",Encyclopedia Britannica | Britannica
36,36,36,Education,https://coolmath.com,"Cool Math - free online cool math lessons, cool math games & apps, fun math activities, pre-algebra, algebra, precalculus - Cool Math has free online cool math lessons, cool math games and fun math activities.  Really clear math lessons (pre-algebra, algebra, precalculus), cool math games, online g","Cool Math has free online cool math lessons, cool math games and fun math activities. Really clear math lessons (pre-algebra, algebra, precalculus), cool math games, online graphing calculators, geometry art, fractals, polyhedra, parents and teachers areas too.","Cool Math - free online cool math lessons, cool math games & apps, fun math activities, pre-algebra, algebra, precalculus"
37,37,37,Education,https://infoplease.com,"Infoplease: Encyclopedia, Almanac, Atlas, Biographies, Dictionary, Thesaurus. Free online reference, research & homework help. — Infoplease.com - Infoplease.com, a free, authoritative, and respected reference for Internet users, provides a comprehensive encyclopedia, almanac, atlas, dicti","Infoplease is a free, authoritative, and respected reference for Internet users that provides a comprehensive encyclopedia, almanac, atlas, dictionary, and thesaurus.","Infoplease: An Online Encyclopedia, Almanac, Atlas, Biographies, Dictionary, and Thesaurus"
